Year,Action & Adventure,Anime,British TV Shows,Children & Family Movies,Cult,Comedies,Crime,Documentaries,Dramas,Faith & Spirituality,Horror,Independent,Kids,Korean,LGBTQ,Music & Musicals,Reality TV,Romantic,Sci-Fi & Fantasy,Science & Nature,Spanish,Sports,Stand-Up Comedy,Mysteries,Thrillers,Teen
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,2,0,0,2,0,0,0,1,0
2014,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2015,2,0,0,1,0,6,0,3,6,1,0,1,0,0,0,0,0,3,0,0,0,1,0,0,2,1
2016,2,0,0,2,0,5,2,1,17,0,1,2,0,0,1,1,0,4,0,0,3,1,0,0,9,0
2017,1,0,0,1,0,13,2,4,13,1,3,4,2,0,1,0,0,2,1,0,5,1,0,0,3,0
2018,3,0,0,0,0,10,5,6,22,0,2,6,1,0,0,2,0,3,4,0,7,0,0,0,9,0
2019,0,0,1,1,0,9,11,3,8,0,1,1,0,0,1,1,1,3,0,0,13,0,0,0,2,0
