Year,Action & Adventure,Anime,British TV Shows,Children & Family Movies,Cult,Comedies,Crime,Documentaries,Dramas,Faith & Spirituality,Horror,Independent,Kids,Korean,LGBTQ,Music & Musicals,Reality TV,Romantic,Sci-Fi & Fantasy,Science & Nature,Spanish,Sports,Stand-Up Comedy,Mysteries,Thrillers,Teen
2000,14,1,0,7,3,18,0,1,18,1,4,2,4,0,0,2,0,7,3,0,0,0,1,0,3,0
2001,9,2,2,3,2,18,0,2,17,0,1,2,1,0,0,1,0,3,4,0,0,0,1,0,6,0
2002,16,1,0,4,0,12,0,2,28,0,3,4,3,0,0,4,0,3,4,0,0,1,1,0,4,0
2003,17,2,0,6,2,21,0,0,12,0,8,1,1,0,0,2,0,8,6,0,2,0,0,0,11,0
2004,19,3,1,10,7,19,1,1,19,0,3,3,2,0,0,4,0,10,3,0,2,2,0,0,2,0
2005,19,2,2,7,0,35,1,2,29,1,1,6,4,0,0,4,0,18,6,0,0,2,1,0,2,0
2006,10,4,4,7,1,27,1,6,30,2,6,8,1,0,1,2,0,12,6,0,2,2,4,0,6,1
2007,15,2,0,11,3,27,1,4,36,1,5,3,3,0,0,11,0,13,7,0,0,4,2,2,7,0
2008,29,8,2,14,3,37,2,5,52,3,4,9,4,0,1,8,0,21,8,1,4,6,5,0,6,1
2009,31,6,11,13,1,47,1,18,39,0,10,13,4,3,1,6,0,19,32,7,0,2,1,0,12,0
2010,37,8,1,22,5,49,7,14,61,1,24,17,8,2,1,7,1,24,14,1,5,4,3,0,15,1
2011,17,6,11,21,0,54,5,18,55,0,8,11,9,1,0,5,1,26,6,2,0,6,6,0,7,1
2012,30,7,11,12,5,62,5,19,65,1,7,21,8,9,2,15,2,28,2,5,2,3,12,0,6,1
2013,26,9,11,22,6,61,9,46,105,3,11,53,7,5,2,18,3,27,9,2,2,5,8,1,21,0
2014,35,8,7,28,0,83,9,51,126,6,16,44,17,7,0,9,3,47,20,3,2,11,10,1,39,2
2015,66,12,23,19,5,117,19,95,232,4,30,84,33,10,14,16,7,57,20,6,6,19,18,7,44,3
2016,84,11,28,48,3,177,42,190,333,1,38,109,47,19,10,26,22,69,21,15,18,32,32,8,78,4
2017,99,12,39,48,3,212,67,224,341,12,57,110,50,21,15,31,14,69,33,8,11,29,58,14,84,4
2018,119,31,43,62,3,238,94,161,377,17,58,109,63,13,11,23,39,80,65,10,35,21,60,17,92,7
2019,82,22,33,43,2,186,83,113,262,3,50,43,56,20,6,24,41,63,37,10,36,11,51,24,68,16
