Year,Action & Adventure,Anime,British TV Shows,Children & Family Movies,Cult,Comedies,Crime,Documentaries,Dramas,Faith & Spirituality,Horror,Independent,Kids,Korean,LGBTQ,Music & Musicals,Reality TV,Romantic,Sci-Fi & Fantasy,Science & Nature,Spanish,Sports,Stand-Up Comedy,Mysteries,Thrillers,Teen
2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2011,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
2015,2,0,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2016,12,0,0,3,0,6,0,0,8,0,0,0,1,0,0,0,0,5,3,0,0,0,0,0,2,0
2017,10,0,0,1,0,6,2,2,9,1,1,0,2,1,0,0,0,2,2,0,0,0,0,0,1,0
2018,6,1,1,3,0,6,0,1,7,0,0,1,1,0,0,0,0,6,3,0,0,0,0,0,0,0
2019,4,0,0,1,0,5,2,1,6,0,0,0,0,0,0,1,0,6,2,0,0,0,0,1,0,3
