Year,Action & Adventure,Anime,British TV Shows,Children & Family Movies,Cult,Comedies,Crime,Documentaries,Dramas,Faith & Spirituality,Horror,Independent,Kids,Korean,LGBTQ,Music & Musicals,Reality TV,Romantic,Sci-Fi & Fantasy,Science & Nature,Spanish,Sports,Stand-Up Comedy,Mysteries,Thrillers,Teen
2000,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
2009,2,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0
2010,3,0,0,1,0,0,0,1,3,0,2,2,1,0,0,0,0,2,1,0,0,1,0,0,1,0
2011,0,0,0,0,0,1,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,1,3,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,2,1,0,0,1,6,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,3,0
2014,0,0,0,3,0,3,0,6,8,0,0,3,3,0,0,0,0,1,0,0,0,2,0,0,0,0
2015,4,0,0,0,1,8,1,4,16,0,1,5,3,0,0,0,0,4,0,0,0,0,0,0,4,0
2016,2,0,0,2,0,10,3,6,27,0,0,9,7,0,0,0,0,3,2,0,0,4,0,0,2,0
2017,5,0,0,1,0,7,5,4,18,0,1,6,4,0,0,0,0,1,2,1,0,2,1,0,4,0
2018,3,0,0,2,0,12,5,4,20,2,2,5,4,0,1,0,0,2,1,0,0,0,2,1,6,0
2019,2,0,1,2,0,5,4,2,23,0,3,6,0,0,0,1,1,3,0,0,0,0,1,1,4,0
