Year,Action & Adventure,Anime,British TV Shows,Children & Family Movies,Cult,Comedies,Crime,Documentaries,Dramas,Faith & Spirituality,Horror,Independent,Kids,Korean,LGBTQ,Music & Musicals,Reality TV,Romantic,Sci-Fi & Fantasy,Science & Nature,Spanish,Sports,Stand-Up Comedy,Mysteries,Thrillers,Teen
2000,1,0,0,0,0,3,0,0,6,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
2001,2,0,0,0,0,4,0,0,6,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
2002,1,0,0,0,0,1,0,0,6,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2,0
2003,2,0,0,0,0,3,0,0,5,0,2,0,0,0,0,2,0,3,0,0,0,0,0,0,3,0
2004,4,0,0,0,0,2,0,1,7,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,1,0
2005,1,0,0,1,0,7,0,1,10,0,0,2,0,0,0,3,0,6,0,0,0,0,0,0,1,0
2006,1,0,0,0,0,9,0,0,10,0,0,2,0,0,0,2,0,5,0,0,0,0,0,0,1,0
2007,2,0,0,0,0,4,0,0,13,0,0,2,0,0,0,3,0,1,0,0,0,1,0,0,1,0
2008,6,0,0,0,0,8,0,0,15,1,1,2,0,0,0,6,0,2,0,0,0,0,0,0,2,0
2009,1,0,0,0,0,8,0,0,16,0,1,2,0,0,0,5,0,4,1,0,0,0,0,0,1,0
2010,2,0,0,2,0,15,1,1,26,0,4,6,1,0,0,5,0,2,0,0,0,0,0,0,6,0
2011,7,0,0,3,0,12,1,0,20,0,1,4,0,0,0,2,0,2,1,0,0,1,0,0,2,0
2012,7,0,0,0,0,14,0,3,19,1,0,5,0,0,0,9,0,4,0,0,0,1,0,0,3,0
2013,7,0,0,0,0,18,0,4,27,0,2,5,0,0,0,13,0,3,0,0,0,2,0,0,6,0
2014,8,0,0,1,0,19,0,1,30,1,4,5,0,0,0,5,0,6,2,0,0,1,1,0,5,0
2015,11,0,0,0,0,15,1,4,51,0,3,16,1,0,2,2,1,7,1,0,0,1,0,0,6,0
2016,14,0,0,1,0,16,0,6,51,0,0,13,0,0,0,2,0,7,3,0,0,3,0,0,8,0
2017,17,0,0,3,0,25,0,3,78,1,5,20,1,0,0,4,0,12,0,0,0,1,1,0,8,0
2018,7,0,0,1,0,29,1,4,76,0,6,26,0,0,0,4,1,6,3,0,0,3,0,1,11,1
2019,7,0,0,3,0,26,2,2,36,0,6,9,2,0,0,4,0,10,0,0,0,0,0,2,7,0
