Year,Action & Adventure,Anime,British TV Shows,Children & Family Movies,Cult,Comedies,Crime,Documentaries,Dramas,Faith & Spirituality,Horror,Independent,Kids,Korean,LGBTQ,Music & Musicals,Reality TV,Romantic,Sci-Fi & Fantasy,Science & Nature,Spanish,Sports,Stand-Up Comedy,Mysteries,Thrillers,Teen
2000,1,0,0,0,0,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,2,0,1,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,2,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2004,1,0,1,0,0,0,0,0,3,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0
2005,2,0,1,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2006,0,0,3,1,0,2,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007,0,0,0,2,0,1,0,0,5,0,1,0,0,0,0,4,0,2,1,0,0,1,0,1,0,0
2008,1,0,2,2,0,4,0,2,3,0,1,1,0,0,0,1,0,4,1,1,0,1,2,0,1,0
2009,5,0,5,1,0,4,0,5,2,0,0,2,0,0,0,0,0,0,6,2,0,0,0,0,1,0
2010,5,0,1,0,1,3,0,2,4,0,3,1,0,0,0,0,0,1,3,0,0,1,0,0,2,0
2011,0,0,7,3,0,3,1,6,6,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0
2012,5,0,7,2,0,3,2,3,5,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0
2013,0,0,11,0,1,3,1,10,12,1,0,6,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2014,4,0,7,1,0,6,1,16,12,1,2,8,1,0,0,0,0,3,1,3,0,1,0,0,4,0
2015,5,0,20,0,1,7,6,26,22,1,3,5,2,0,1,1,1,2,1,5,0,4,0,0,5,0
2016,5,0,26,0,1,12,9,40,17,0,6,10,3,0,1,3,4,3,2,6,0,3,3,1,10,0
2017,5,0,35,3,2,12,9,40,12,0,2,4,6,0,1,4,7,3,4,2,1,4,3,0,8,0
2018,10,0,35,5,0,11,8,15,19,0,4,4,3,0,1,2,9,6,6,2,0,2,3,0,10,0
2019,5,0,25,1,0,13,5,13,10,0,1,2,5,0,0,1,5,0,1,1,0,1,3,1,2,0
