,name,id,type,title_count,title_count_weighted
0,Children & Family Movies,0,movie,378,235.83333333333363
1,Comedies,1,movie,1113,485.4999999999958
2,Spanish-Language TV Shows,2,tv,117,40.0
3,Crime TV Shows,3,tv,363,129.6666666666661
4,International TV Shows,4,tv,1001,373.83333333333115
5,Thrillers,5,movie,392,183.33333333333363
6,International Movies,6,movie,1927,761.1666666666761
7,Sci-Fi & Fantasy,7,movie,193,77.66666666666664
8,Docuseries,8,tv,279,152.66666666666663
9,Science & Nature TV,9,tv,67,25.99999999999999
10,Action & Adventure,10,movie,597,277.50000000000034
11,Dramas,11,movie,1623,683.166666666671
12,Independent Movies,12,movie,552,205.16666666666774
13,Cult Movies,13,movie,55,20.66666666666666
14,Romantic Movies,14,movie,376,141.49999999999972
15,Horror Movies,15,movie,262,133.1666666666665
16,TV Comedies,16,tv,436,209.666666666667
17,Romantic TV Shows,17,tv,278,95.16666666666644
18,Kids' TV,18,tv,328,237.83333333333348
19,TV Thrillers,19,tv,44,16.500000000000007
20,TV Dramas,20,tv,599,244.33333333333465
21,TV Mysteries,21,tv,69,23.166666666666654
22,British TV Shows,22,tv,210,77.49999999999999
23,Documentaries,23,movie,668,471.49999999999955
24,Music & Musicals,24,movie,243,99.3333333333332
25,Reality TV,25,tv,153,93.3333333333333
26,TV Action & Adventure,26,tv,126,45.333333333333364
27,Anime Features,27,movie,45,17.33333333333334
28,Teen TV Shows,28,tv,44,16.500000000000007
29,Faith & Spirituality,29,movie,47,19.333333333333332
30,Korean TV Shows,30,tv,132,47.000000000000036
31,Anime Series,31,tv,117,56.00000000000001
32,LGBTQ Movies,32,movie,60,22.666666666666654
33,TV Horror,33,tv,54,18.16666666666667
34,Stand-Up Comedy & Talk Shows,34,tv,42,22.166666666666664
35,TV Sci-Fi & Fantasy,35,tv,68,25.166666666666657
36,Classic Movies,36,movie,84,31.83333333333329
37,Sports Movies,37,movie,157,65.33333333333339
38,Stand-Up Comedy,38,movie,281,277.0
39,Classic & Cult TV,39,tv,24,8.999999999999998
