,source,target,weight
0,0,1,142.0
1,2,3,16.666666666666675
2,2,4,33.999999999999964
3,3,4,75.66666666666667
4,5,6,85.33333333333327
5,5,7,16.0
6,6,7,17.33333333333334
7,8,9,35.33333333333332
8,5,10,3.0000000000000004
9,6,10,150.66666666666669
10,10,11,71.00000000000004
11,6,11,504.3333333333277
12,11,12,183.00000000000077
13,12,13,1.9999999999999998
14,11,13,3.666666666666667
15,12,14,8.33333333333333
16,1,14,84.66666666666666
17,1,12,59.00000000000007
18,1,6,262.6666666666681
19,1,10,64.00000000000009
20,5,15,57.333333333333364
21,11,14,75.66666666666669
22,16,17,28.999999999999975
23,4,16,74.00000000000001
24,4,17,84.33333333333323
25,6,15,67.00000000000007
26,0,7,10.666666666666666
27,1,7,10.666666666666666
28,5,11,94.6666666666666
29,6,12,72.00000000000006
30,16,18,81.33333333333331
31,1,11,119.33333333333289
32,6,14,88.6666666666665
33,19,20,10.333333333333336
34,4,19,4.666666666666666
35,4,20,194.0000000000005
36,10,12,15.333333333333341
37,16,20,42.0
38,17,20,35.66666666666664
39,7,10,67.00000000000003
40,20,21,16.00000000000001
41,3,21,5.999999999999998
42,3,20,62.33333333333346
43,0,11,26.666666666666654
44,8,22,34.333333333333314
45,4,8,43.00000000000001
46,4,22,34.666666666666636
47,6,23,172.0000000000001
48,0,24,13.333333333333336
49,2,25,3.0
50,4,25,39.000000000000014
51,20,26,16.000000000000007
52,4,26,17.000000000000007
53,7,11,14.000000000000005
54,7,24,0.3333333333333333
55,24,27,0.3333333333333333
56,7,27,1.9999999999999998
57,16,28,3.666666666666667
58,20,28,9.333333333333334
59,0,29,1.9999999999999998
60,11,29,18.333333333333332
61,6,24,47.33333333333338
62,1,24,21.333333333333325
63,5,12,23.999999999999993
64,1,5,2.333333333333333
65,1,15,14.33333333333334
66,23,24,65.66666666666667
67,26,30,1.9999999999999998
68,4,30,36.66666666666665
69,25,26,0.6666666666666666
70,9,25,2.333333333333333
71,9,26,0.3333333333333333
72,4,31,69.66666666666667
73,16,21,1.3333333333333333
74,3,16,7.999999999999997
75,3,22,13.33333333333334
76,12,32,5.666666666666665
77,11,32,11.0
78,28,33,1.3333333333333333
79,3,26,13.333333333333336
80,7,12,4.333333333333333
81,17,30,18.666666666666668
82,12,15,25.33333333333333
83,3,8,41.333333333333336
84,10,13,4.666666666666666
85,1,13,17.000000000000004
86,18,31,17.0
87,22,25,15.66666666666667
88,20,22,6.333333333333331
89,2,8,2.333333333333333
90,16,34,22.333333333333336
91,17,26,1.3333333333333333
92,31,33,1.0
93,4,33,6.999999999999997
94,20,33,6.999999999999997
95,2,20,7.33333333333333
96,0,14,4.666666666666666
97,26,35,15.333333333333337
98,20,35,12.333333333333334
99,20,30,5.999999999999998
100,8,18,0.3333333333333333
101,9,18,0.6666666666666666
102,1,36,6.666666666666664
103,13,36,3.0
104,7,14,1.9999999999999998
105,10,14,5.999999999999999
106,6,37,19.33333333333333
107,23,37,60.33333333333334
108,13,15,5.333333333333333
109,11,37,26.666666666666668
110,10,27,11.000000000000002
111,6,27,10.333333333333334
112,11,24,20.333333333333325
113,8,25,11.666666666666666
114,12,36,2.333333333333333
115,24,32,0.6666666666666666
116,23,32,13.66666666666667
117,19,22,0.6666666666666666
118,19,33,3.3333333333333335
119,22,33,0.6666666666666666
120,0,37,4.333333333333333
121,16,30,3.3333333333333335
122,18,26,6.666666666666666
123,18,20,4.0
124,17,31,3.666666666666667
125,14,37,1.0
126,3,31,5.666666666666666
127,17,28,1.9999999999999998
128,4,28,5.999999999999998
129,21,35,4.0
130,34,35,0.3333333333333333
131,21,34,0.3333333333333333
132,7,15,7.666666666666664
133,16,25,3.3333333333333335
134,25,33,1.0
135,16,33,2.333333333333333
136,21,26,1.3333333333333333
137,4,21,7.666666666666663
138,16,26,6.666666666666665
139,26,33,2.6666666666666665
140,21,33,6.333333333333331
141,23,38,2.0
142,14,24,2.6666666666666665
143,0,6,4.0
144,8,16,2.333333333333333
145,16,22,20.999999999999993
146,1,23,2.0
147,4,9,4.0
148,17,22,3.0
149,18,30,19.333333333333332
150,6,29,4.666666666666666
151,0,23,5.333333333333333
152,18,19,5.333333333333334
153,1,37,11.0
154,8,34,1.0
155,3,30,5.333333333333332
156,9,22,8.33333333333333
157,6,36,4.333333333333333
158,11,36,18.333333333333336
159,36,37,1.0
160,6,13,2.333333333333333
161,10,23,0.6666666666666666
162,10,24,3.666666666666667
163,14,29,0.6666666666666666
164,8,20,2.3333333333333335
165,1,32,5.666666666666665
166,3,35,1.0
167,4,35,4.666666666666666
168,14,32,1.0
169,6,32,5.999999999999998
170,2,17,5.999999999999998
171,4,34,6.333333333333331
172,2,34,0.3333333333333333
173,0,10,6.333333333333332
174,0,36,4.000000000000001
175,16,35,4.0
176,10,36,6.999999999999997
177,5,13,1.3333333333333333
178,2,16,4.0
179,14,27,1.6666666666666665
180,28,31,5.666666666666665
181,33,35,1.6666666666666665
182,14,36,1.3333333333333333
183,7,36,0.3333333333333333
184,24,36,1.0
185,10,15,5.999999999999999
186,5,36,1.3333333333333333
187,15,36,1.0
188,24,37,0.6666666666666666
189,5,32,0.3333333333333333
190,15,32,0.3333333333333333
191,25,30,1.3333333333333333
192,8,21,1.0
193,12,37,1.9999999999999998
194,18,22,13.666666666666668
195,2,18,3.6666666666666665
196,27,36,0.3333333333333333
197,35,39,2.0
198,20,39,1.3333333333333333
199,3,19,3.0
200,23,36,11.333333333333334
201,24,29,0.3333333333333333
202,23,29,9.0
203,22,34,0.3333333333333333
204,0,12,3.0
205,0,13,0.3333333333333333
206,0,27,4.666666666666666
207,11,23,0.6666666666666666
208,25,28,2.333333333333333
209,1,29,2.333333333333333
210,14,15,0.6666666666666666
211,24,38,6.0
212,3,9,0.6666666666666666
213,12,24,1.6666666666666665
214,5,24,1.0
215,10,37,1.9999999999999998
216,3,17,3.0
217,15,23,2.0
218,18,35,2.333333333333333
219,17,25,3.3333333333333335
220,32,36,0.3333333333333333
221,8,28,0.3333333333333333
222,19,31,1.3333333333333333
223,4,39,1.3333333333333333
224,3,39,1.0
225,13,37,0.3333333333333333
226,15,24,0.3333333333333333
227,11,15,0.6666666666666666
228,7,13,0.6666666666666666
229,30,34,1.3333333333333333
230,15,27,0.3333333333333333
231,2,33,0.3333333333333333
232,13,23,0.3333333333333333
233,2,39,0.3333333333333333
234,18,39,0.6666666666666666
235,10,29,0.6666666666666666
236,7,29,0.3333333333333333
237,22,26,1.0
238,2,26,1.6666666666666665
239,3,18,1.6666666666666665
240,0,32,0.3333333333333333
241,22,35,0.3333333333333333
242,19,21,1.6666666666666665
243,13,32,0.3333333333333333
244,28,35,0.6666666666666666
245,21,28,0.3333333333333333
246,17,35,0.3333333333333333
247,12,29,0.3333333333333333
248,18,25,0.3333333333333333
249,21,39,0.3333333333333333
250,33,39,1.0
251,19,35,1.3333333333333333
252,3,28,0.3333333333333333
253,3,33,0.6666666666666666
254,26,39,1.9999999999999998
255,16,39,6.333333333333333
256,22,39,1.6666666666666665
257,18,28,0.6666666666666666
258,19,25,0.3333333333333333
259,9,20,0.3333333333333333
260,16,19,0.3333333333333333
261,2,28,0.3333333333333333
262,19,26,0.6666666666666666
263,3,25,0.3333333333333333
0,1,16,
1,34,38,
2,0,18,
3,2,6,
4,6,4,
5,6,30,
6,6,22,
7,5,19,
8,7,35,
9,10,26,
10,11,20,
11,36,39,
12,13,39,
13,14,17,
14,15,33,
15,8,23,
16,9,23,
17,27,31,
