Year,Action & Adventure,Anime,British TV Shows,Children & Family Movies,Cult,Comedies,Crime,Documentaries,Dramas,Faith & Spirituality,Horror,Independent,Kids,Korean,LGBTQ,Music & Musicals,Reality TV,Romantic,Sci-Fi & Fantasy,Science & Nature,Spanish,Sports,Stand-Up Comedy,Mysteries,Thrillers,Teen
2000,1,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2002,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2004,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2005,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2006,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,1,0,0,1,0,2,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
2008,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,2,0,0,0,1,1,0,1,2,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,1,0
2010,3,0,0,3,1,5,0,2,2,0,3,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
2011,0,0,1,2,0,5,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0
2012,1,0,1,1,0,4,0,1,1,0,1,1,2,0,0,0,0,2,0,1,0,0,0,0,0,0
2013,1,0,0,1,0,3,0,0,2,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0
2014,6,0,0,4,0,9,1,2,8,1,1,2,3,0,0,1,1,1,3,0,0,0,0,0,3,0
2015,4,1,0,2,1,9,0,5,8,0,6,4,6,0,0,1,0,1,2,0,0,4,0,3,2,0
2016,4,0,0,9,0,16,3,11,15,0,3,7,7,0,0,1,2,2,3,2,0,2,0,1,6,0
2017,4,0,0,9,0,14,5,8,15,0,3,7,3,0,2,3,0,2,3,0,0,0,0,1,6,1
2018,2,1,0,6,1,9,3,7,15,1,2,6,12,1,0,1,2,6,4,0,0,1,0,0,5,0
2019,4,0,1,3,0,6,1,3,7,0,5,1,7,0,0,0,2,0,1,0,0,0,1,1,5,0
