Year,Action & Adventure,Anime,British TV Shows,Children & Family Movies,Cult,Comedies,Crime,Documentaries,Dramas,Faith & Spirituality,Horror,Independent,Kids,Korean,LGBTQ,Music & Musicals,Reality TV,Romantic,Sci-Fi & Fantasy,Science & Nature,Spanish,Sports,Stand-Up Comedy,Mysteries,Thrillers,Teen
2000,2,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2002,1,0,0,1,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2004,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0
2006,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2007,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2008,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
2009,4,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2010,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2011,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2012,2,0,1,0,1,1,0,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013,1,0,0,0,0,0,0,1,5,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,0,0,0,2,0,2,0,1,4,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,2,0
2015,2,0,0,0,0,2,0,4,6,0,0,4,2,0,1,0,0,0,0,0,0,1,0,0,0,0
2016,1,0,0,2,0,6,2,4,14,0,1,5,0,0,0,1,0,0,0,0,0,0,1,0,1,0
2017,0,0,0,2,0,2,3,5,10,0,0,4,0,0,1,1,0,0,0,1,0,0,0,0,2,0
2018,0,0,0,0,0,1,3,2,8,1,0,3,0,0,0,0,2,0,3,0,1,0,1,0,3,0
2019,2,0,2,1,0,2,3,1,6,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0
