Year,Action & Adventure,Anime,British TV Shows,Children & Family Movies,Cult,Comedies,Crime,Documentaries,Dramas,Faith & Spirituality,Horror,Independent,Kids,Korean,LGBTQ,Music & Musicals,Reality TV,Romantic,Sci-Fi & Fantasy,Science & Nature,Spanish,Sports,Stand-Up Comedy,Mysteries,Thrillers,Teen
2000,6,0,0,6,2,8,0,0,6,1,4,0,1,0,0,0,0,2,3,0,0,0,1,0,3,0
2001,3,0,1,3,2,9,0,1,4,0,1,1,1,0,0,0,0,2,3,0,0,0,1,0,2,0
2002,10,0,0,3,0,7,0,1,6,0,2,0,1,0,0,0,0,0,4,0,0,1,1,0,2,0
2003,9,0,0,5,2,14,0,0,4,0,2,1,1,0,0,0,0,2,4,0,1,0,0,0,3,0
2004,7,0,0,8,3,7,0,0,5,0,1,1,1,0,0,1,0,1,3,0,0,1,0,0,0,0
2005,8,0,1,5,0,17,0,0,9,0,1,4,3,0,0,1,0,6,3,0,0,1,1,0,1,0
2006,4,0,1,6,0,12,0,3,11,1,2,4,1,0,1,0,0,5,4,0,0,1,4,0,3,0
2007,7,0,0,5,3,16,0,3,10,1,3,1,1,0,0,3,0,5,4,0,0,2,2,1,5,0
2008,12,0,0,8,2,17,0,2,18,1,2,6,3,0,1,0,0,7,4,0,1,3,2,0,3,0
2009,12,1,4,8,0,19,0,7,11,0,6,6,2,0,1,1,0,5,14,4,0,1,1,0,5,0
2010,11,0,0,10,1,12,1,6,12,0,8,6,3,0,0,1,1,9,6,1,2,2,3,0,5,0
2011,6,0,1,10,0,16,2,9,11,0,3,5,4,0,0,1,1,6,4,1,0,2,4,0,2,0
2012,7,0,1,9,2,19,0,7,13,0,4,6,4,0,1,3,1,4,2,1,1,1,12,0,2,1
2013,5,0,0,15,1,11,3,23,24,2,5,16,4,0,2,3,2,4,4,1,0,2,8,1,7,0
2014,6,0,0,16,0,23,2,18,32,3,6,15,6,0,0,1,2,8,8,0,1,4,9,0,13,0
2015,16,1,2,15,1,38,5,36,60,1,13,39,9,0,5,8,3,5,14,1,2,4,17,4,20,1
2016,20,1,1,21,2,55,10,91,86,1,18,48,17,0,6,12,11,14,7,4,5,13,24,3,26,3
2017,32,0,2,19,1,81,22,125,99,6,30,53,23,1,9,13,4,19,13,2,1,17,43,10,36,1
2018,51,1,5,37,2,110,39,105,120,10,28,43,27,0,6,10,13,29,34,6,8,12,37,11,39,4
2019,45,7,3,23,2,94,28,74,108,1,25,20,31,1,5,13,27,18,30,9,2,5,33,14,29,9
